,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,.//BH_Data.root,hpass,Data,Data,,,,,,
1,Signal_B1_MD2000_MBH10000_n2,pass,default,red,SIGNAL,1.0,lumi,.//BH_Signal_B1_MD2000_MBH10000_n2.root,hpass,Signal_B1_MD2000_MBH10000_n2,BH signal,,1.016,,lnN,,
2,Signal_B1_MD2000_MBH10000_n2,pass,default,red,SIGNAL,1.0,nominal,.//BH_Signal_B1_MD2000_MBH10000_n2.root,hpass,Signal_B1_MD2000_MBH10000_n2,BH signal,,,,,,
3,data_obs,fail,default,black,DATA,1.0,nominal,.//BH_Data.root,hfail,Data,Data,,,,,,
4,Signal_B1_MD2000_MBH10000_n2,fail,default,red,SIGNAL,1.0,lumi,.//BH_Signal_B1_MD2000_MBH10000_n2.root,hfail,Signal_B1_MD2000_MBH10000_n2,BH signal,,1.016,,lnN,,
5,Signal_B1_MD2000_MBH10000_n2,fail,default,red,SIGNAL,1.0,nominal,.//BH_Signal_B1_MD2000_MBH10000_n2.root,hfail,Signal_B1_MD2000_MBH10000_n2,BH signal,,,,,,
