blackmax,Total events,Hadronizer fragment name,Generator,Cross Section,Datacard,LHE
BlackHole_BH2_MD2000_MBH5000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,4.11E+00,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH5000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH5000_n2/lhouches.lhe
BlackHole_BH2_MD2000_MBH5000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.14E+01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH5000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH5000_n4/lhouches.lhe
BlackHole_BH2_MD2000_MBH5000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,2.01E+01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH5000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH5000_n6/lhouches.lhe
BlackHole_BH2_MD2000_MBH6000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,7.92E-01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH6000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH6000_n2/lhouches.lhe
BlackHole_BH2_MD2000_MBH6000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,2.11E+00,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH6000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH6000_n4/lhouches.lhe
BlackHole_BH2_MD2000_MBH6000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,3.65E+00,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH6000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH6000_n6/lhouches.lhe
BlackHole_BH2_MD2000_MBH7000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.25E-01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH7000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH7000_n2/lhouches.lhe
BlackHole_BH2_MD2000_MBH7000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,3.20E-01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH7000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH7000_n4/lhouches.lhe
BlackHole_BH2_MD2000_MBH7000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,5.46E-01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH7000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH7000_n6/lhouches.lhe
BlackHole_BH2_MD2000_MBH8000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.47E-02,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH8000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD2000_MBH8000_n2/lhouches.lhe
